what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1321257241091
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321257286733
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321257289765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321257294280
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321257294280
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321257294374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321257308031
started,bundle,org.eclipse.wb.os,1.2.0.r37x201109270310,"org.eclipse.wb.os",1321257311109
started,bundle,org.eclipse.wb.os.win32,1.2.0.r37x201109270310,"org.eclipse.wb.os.win32",1321257311125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321257318250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321257318250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321257318313
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321257338173
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1321257339735
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321257348251
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321257348251
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321257348345
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321258239718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321258246374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321258246374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321258246733
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321258279109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321258335705
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321258366831
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321258396785
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1321258403082
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321258408207
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321258413614
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1321258414723
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.run",1321258418614
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321258419270
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1321258420942
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321258423614
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321258423630
