what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.html.core,1.1.500.v201104191551,"org.eclipse.wst.html.core",1322291138515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322291140218
started,bundle,org.eclipse.wst.css.core,1.1.500.v201104191926,"org.eclipse.wst.css.core",1322291140609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322291142218
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1322291142234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1322291142234
error,log,,,"Resource '/HelloWorld' does not exist.",1322291169046
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1322291169359
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1322291170078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322291170093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322291170093
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1322291170171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322291170250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322291170328
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1322291170328
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1322291170593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322291171281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322291171390
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1322291174218
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1322291179750
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1322291179750
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1322291190937
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1322291202125
started,bundle,com.liferay.ide.eclipse.theme.core,1.3.1.v201108310601,"com.liferay.ide.eclipse.theme.core",1322291202265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322291207000
started,bundle,org.eclipse.pde,3.6.100.v201106131736,"org.eclipse.pde",1322291218828
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1322291218921
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1322291218921
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1322291218921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322291227500
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1322291235203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322291236187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322291237437
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1322291237437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1322291237437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322291243875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322291258218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1322291258234
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1322291267890
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1322291274609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322291279312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322291293015
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1322291296125
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1322291308343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322291312671
